Seq,F1,F2,F3,F4,F5,F6,Class
2,0,0,0,0,0,0,1
3,2,2,2,2,2,2,1
4,0,0,0,0,0,0,0
5,1,1,1,1,1,1,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0
9,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1
11,0,0,0,0,0,0,0
12,1,1,1,1,1,1,1
13,1,1,1,1,1,1,0
14,0,0,0,0,0,0,1
15,0,0,0,0,0,0,1
16,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,1,1,1,1,1,1,0
22,1,1,1,1,1,1,0
23,2,2,2,2,2,2,0
24,0,0,0,0,0,0,1
25,0,0,0,0,0,0,1
26,1,1,1,1,1,1,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
33,0,0,0,0,0,0,1
34,1,1,1,1,1,1,0
35,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
38,1,1,1,1,1,1,0
39,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,1,1,1,1,1,1,0
43,1,1,1,1,1,1,0
44,1,1,1,1,1,1,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,2,2,2,2,2,2,1
48,1,1,1,1,1,1,1
49,2,2,2,2,2,2,0
50,1,1,1,1,1,1,1
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,1
53,0,0,0,0,0,0,1
54,2,2,2,2,2,2,0
55,1,1,1,1,1,1,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,1
60,1,1,1,1,1,1,0
61,0,0,0,0,0,0,1
62,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0
64,0,0,0,0,0,0,1
65,0,0,0,0,0,0,0
66,1,1,1,1,1,1,1
67,0,0,0,0,0,0,1
68,2,2,2,2,2,2,0
69,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0
71,1,1,1,1,1,1,1
72,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0
75,0,0,0,0,0,0,1
76,0,0,0,0,0,0,1
77,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1
79,0,0,0,0,0,0,1
80,1,1,1,1,1,1,0
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,1
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
93,1,1,1,1,1,1,0
94,0,0,0,0,0,0,0
95,1,1,1,1,1,1,0
96,0,0,0,0,0,0,1
97,0,0,0,0,0,0,0
98,2,2,2,2,2,2,0
99,1,1,1,1,1,1,0
100,0,0,0,0,0,0,1
101,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,1
104,2,2,2,2,2,2,1
105,0,0,0,0,0,0,0
106,1,1,1,1,1,1,1
107,0,0,0,0,0,0,0
108,0,0,0,0,0,0,1
109,0,0,0,0,0,0,1
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
